iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
1;1;1;8000;additive;logistic;0.1568603515625;0.0;0.1;7.32421875E-4;0.2202392578125
10;10;1;8000;additive;logistic;0.4068603515625;0.0;0.1;0.246826171875;0.0702392578125
100;100;1;8000;additive;logistic;0.1881103515625;0.0;0.1;0.313232421875;0.23942871093749998
1000;1000;1;8000;additive;logistic;0.2105712890625;0.0;0.1;0.864013671875;0.1995849609375
10000;10000;1;8000;additive;logistic;0.1141357421875;0.0;0.1;0.158447265625;0.2524658203125
10001;10001;1;8000;additive;logistic;0.0140380859375;0.0;0.1;0.786376953125;0.19255371093749998
10002;10002;1;8000;additive;logistic;0.0140380859375;0.0;0.1;0.908447265625;0.19255371093749998
10003;10003;1;8000;additive;logistic;0.2391357421875;0.0;0.1;0.786376953125;0.19255371093749998
10004;10004;1;8000;additive;logistic;0.0140380859375;0.0;0.1;0.786376953125;0.1774658203125
10005;10005;1;8000;additive;logistic;0.2391357421875;0.0;0.1;0.786376953125;0.1774658203125
10006;10006;1;8000;additive;logistic;0.0140380859375;0.0;0.1;0.908447265625;0.1774658203125
10007;10007;1;8000;additive;logistic;0.2391357421875;0.0;0.1;0.908447265625;0.19255371093749998
10008;10008;1;8000;additive;logistic;0.2391357421875;0.0;0.1;0.908447265625;0.1774658203125
10009;10009;1;8000;additive;logistic;0.2640380859375;0.0;0.1;0.286376953125;0.042553710937499996
1001;1001;1;8000;additive;logistic;0.3638916015625;0.0;0.1;0.758544921875;0.1382080078125
10010;10010;1;8000;additive;logistic;0.2640380859375;0.0;0.1;0.408447265625;0.042553710937499996
10011;10011;1;8000;additive;logistic;0.4891357421875;0.0;0.1;0.286376953125;0.042553710937499996
10012;10012;1;8000;additive;logistic;0.2640380859375;0.0;0.1;0.286376953125;0.0274658203125
10013;10013;1;8000;additive;logistic;0.4891357421875;0.0;0.1;0.286376953125;0.0274658203125
10014;10014;1;8000;additive;logistic;0.2640380859375;0.0;0.1;0.408447265625;0.0274658203125
10015;10015;1;8000;additive;logistic;0.4891357421875;0.0;0.1;0.408447265625;0.042553710937499996
10016;10016;1;8000;additive;logistic;0.4891357421875;0.0;0.1;0.408447265625;0.0274658203125
10017;10017;1;8000;additive;logistic;0.0765380859375;0.0;0.1;0.411376953125;0.0800537109375
10018;10018;1;8000;additive;logistic;0.0765380859375;0.0;0.1;0.283447265625;0.0800537109375
10019;10019;1;8000;additive;logistic;0.4266357421875;0.0;0.1;0.411376953125;0.0800537109375
1002;1002;1;8000;additive;logistic;0.3638916015625;0.0;0.1;0.364013671875;0.1382080078125
10020;10020;1;8000;additive;logistic;0.0765380859375;0.0;0.1;0.411376953125;0.1399658203125
10021;10021;1;8000;additive;logistic;0.4266357421875;0.0;0.1;0.411376953125;0.1399658203125
